id,job,prediction,confidence,date
1,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹6 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 01:22:06
2,"Earn ₹50,000 per week from home. No experience required. Pay ₹999 registration fee. Immediate joining. Send your Aadhaar and bank details now.",Fake,90.07,12-07-2026 01:25:48
3,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹6 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 01:26:24
4,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹69 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 01:26:57
5,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹6 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 18:36:33
6,"Earn ₹50,000 per week from home. No experience required. Pay ₹999 registration fee. Immediate joining. Send your Aadhaar and bank details now.",Fake,90.07,12-07-2026 18:41:17
7,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹6 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 18:49:08
8,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹6 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 18:57:25
9,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹6 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 19:06:36
10,TCS is hiring Software Engineers for Chennai. Freshers can apply. Salary ₹6 LPA. Apply only through the official TCS Careers website. No registration fee.,Real,77.53,12-07-2026 19:53:32
